Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
Bread,0,0,0,0,0,0,0,0,0
Scandinavian,0,0,0,0,0,0,0,0,0
Jam,Hot chocolate,Cookies,0,0,0,0,0,0,0
Muffin,0,0,0,0,0,0,0,0,0
Pastry,Coffee,Bread,0,0,0,0,0,0,0
Pastry,Medialuna,Muffin,0,0,0,0,0,0,0
Tea,Pastry,Medialuna,Coffee,0,0,0,0,0,0
Pastry,Bread,0,0,0,0,0,0,0,0
Muffin,Bread,0,0,0,0,0,0,0,0
Medialuna,Scandinavian,0,0,0,0,0,0,0,0
Medialuna,Bread,0,0,0,0,0,0,0,0
Tea,Jam,Pastry,Coffee,Tartine,0,0,0,0,0
Coffee,Bread,Basket,0,0,0,0,0,0,0
Pastry,Medialuna,Bread,0,0,0,0,0,0,0
Mineral water,Scandinavian,0,0,0,0,0,0,0,0
Medialuna,Coffee,Bread,0,0,0,0,0,0,0
Hot chocolate,0,0,0,0,0,0,0,0,0
Farm House,0,0,0,0,0,0,0,0,0
Farm House,Bread,0,0,0,0,0,0,0,0
Medialuna,Bread,0,0,0,0,0,0,0,0
Medialuna,Coffee,Bread,0,0,0,0,0,0,0
Jam,0,0,0,0,0,0,0,0,0
Muffin,Scandinavian,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Scandinavian,0,0,0,0,0,0,0,0,0
Fudge,0,0,0,0,0,0,0,0,0
Scandinavian,0,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Jam,Bread,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Basket,0,0,0,0,0,0,0,0,0
Muffin,Scandinavian,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Coffee,Muffin,0,0,0,0,0,0,0,0
Muffin,Scandinavian,0,0,0,0,0,0,0,0
Tea,Bread,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
Tea,Bread,0,0,0,0,0,0,0,0
Scandinavian,0,0,0,0,0,0,0,0,0
Tartine,Coffee,Juice,Muffin,0,0,0,0,0,0
Scandinavian,0,0,0,0,0,0,0,0,0
Tea,Bread,0,0,0,0,0,0,0,0
Scandinavian,Fudge,0,0,0,0,0,0,0,0
Medialuna,Coffee,0,0,0,0,0,0,0,0
Hot chocolate,Medialuna,Coffee,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Juice,Muffin,Ellas Kitchen Pouches,Jam,Bread,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Medialuna,Coffee,0,0,0,0,0,0,0,0
Victorian Sponge,Bread,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Scandinavian,0,0,0,0,0,0,0,0,0
Bread,0,0,0,0,0,0,0,0,0
Frittata,Coffee,Hearty & Seasonal,Tea,0,0,0,0,0,0
Frittata,Coffee,0,0,0,0,0,0,0,0
Scandinavian,0,0,0,0,0,0,0,0,0
Tea,Victorian Sponge,Hot chocolate,Soup,0,0,0,0,0,0
Tea,0,0,0,0,0,0,0,0,0
Cookies,Coffee,Juice,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Smoothies,Pick and Mix Bowls,Coffee,Hearty & Seasonal,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0
Cake,0,0,0,0,0,0,0,0,0
Tartine,Coffee,Tea,Mighty Protein,0,0,0,0,0,0
Frittata,Mineral water,Hearty & Seasonal,0,0,0,0,0,0,0
Mineral water,Muffin,Hearty & Seasonal,0,0,0,0,0,0,0
Tea,Scandinavian,Frittata,Coffee,Chicken sand,0,0,0,0,0
Tea,Victorian Sponge,Bread,0,0,0,0,0,0,0
Fudge,0,0,0,0,0,0,0,0,0
Muffin,0,0,0,0,0,0,0,0,0
Coffee,Bread,0,0,0,0,0,0,0,0
